food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Protein_ratio,Fat_ratio,Carbohydrates_ratio,Calorie_Density,Health_Score,Food_Category
profeel proteiinirahka valio,140.0,0.4,0.2,16.8,16.8,19.3,0.2,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.7,89.88,0.21,9.91,1.4,349.2,High_Protein
cottage cheese low fat,163.0,2.3,1.5,0.7,0.041,6.1,6.1,28.0,0.0,9.0,0.9,186.4,0.021,0.081,0.005,0.072,0.4,0.3,0.5,0.2,0.0,0.0,0.035,0.024,137.9,0.005,0.3,11.3,0.041,302.8,194.4,0.055,0.9,174.683,76.92,6.32,16.76,1.63,41.5,High_Protein
cottage cheese nonfat,104.0,0.4,0.2,0.1,0.066,9.7,2.7,15.0,0.0,10.2,0.5,117.5,0.093,0.063,0.013,0.006,0.3,0.2,0.6,0.039,0.0,0.0,0.096,0.0,124.7,0.071,0.2,16.0,0.063,275.5,198.7,0.063,0.7,150.072,59.76,1.59,38.65,1.04,24.2,High_Protein
vanilla yogurt low fat,208.0,3.1,2.0,0.8,0.036,33.8,33.8,12.1,0.0,12.3,0.2,193.6,0.051,0.1,0.054,0.01,0.5,0.3,1.4,0.1,2.0,0.0,0.029,0.024,419.0,0.012,0.2,39.2,0.023,330.8,536.6,0.049,2.0,470.265,24.69,6.33,68.98,2.08,-46.5,High_Carb
yogurt low fat,154.0,3.8,2.5,1.0,0.1,17.2,17.2,12.9,0.0,14.7,0.2,208.4,0.021,0.1,0.045,0.034,0.5,0.3,1.4,0.1,2.0,0.0,0.007,0.007,448.4,0.005,0.2,41.7,0.039,352.8,573.3,0.071,2.2,484.517,38.05,11.21,50.74,1.54,-12.4,High_Carb
greek yogurt,100.0,0.7,0.2,0.018,0.01,6.1,5.5,17.3,0.0,8.5,0.081,144.7,0.035,0.009,0.045,0.036,0.5,0.4,0.6,0.1,0.0,0.0,0.089,0.01,187.0,0.021,0.1,18.7,0.004,229.5,239.7,0.032,0.9,211.251,71.78,2.9,25.31,1.0,22.9,High_Protein
smoothie high protein creamy chocolate slimfast,110.0,3.5,0.5,0.0,0.0,2.1,1.0,12.0,0.0,5.0,0.2,15.0,45.0,25.0,100.0,25.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,68.18,19.89,11.93,1.1,18.5,High_Protein
lupins cooked,193.0,4.8,0.6,2.0,1.2,15.4,0.0,25.8,4.6,0.0,0.4,118.0,0.0,0.2,0.083,0.0,0.071,0.8,0.3,0.016,1.8,0.0,0.0,0.0,84.7,0.4,2.0,89.6,1.1,212.5,406.7,0.084,2.3,139.1,56.09,10.43,33.48,1.93,53.7,High_Protein
green soybean cooked,127.0,5.8,0.7,1.1,2.7,9.9,0.0,11.1,3.8,0.0,0.2,61.7,0.0,0.0,0.2,0.01,0.0,0.1,1.1,0.1,0.007,15.3,0.0,0.0,0.0,130.5,0.1,2.3,54.0,0.5,142.2,485.1,0.0,30.78,41.42,21.64,36.94,1.27,22.1,High_Protein
soy proteins isolate,96.0,1.0,0.1,0.2,0.5,2.1,0.0,22.8,1.6,0.0,0.3,1.4,0.0,0.037,0.01,0.0,0.085,0.4,0.079,0.006,0.0,0.0,0.0,0.0,50.4,0.5,4.1,11.0,0.4,219.6,22.9,0.011,1.1,82.0,88.03,3.86,8.11,0.96,47.0,High_Protein
meatless meatloaf,110.0,5.0,0.8,1.2,2.6,4.5,0.7,11.8,2.6,0.0,0.3,32.5,0.0,0.5,0.066,0.062,0.3,5.6,0.0,0.7,0.0,0.0,1.0,0.0,16.2,0.4,1.2,10.1,0.0,192.6,100.8,0.02,1.0,41.3,55.4,23.47,21.13,1.1,21.1,High_Protein
soybean cooked,296.0,15.4,2.2,3.4,8.7,17.1,5.2,28.6,10.3,0.0,0.075,107.6,0.0,0.0,0.3,0.022,0.0,0.5,0.7,0.3,0.4,2.9,0.0,0.6,0.099,175.4,0.7,8.8,147.9,1.4,421.4,885.8,0.064,72.517,46.81,25.2,27.99,2.96,46.85,High_Protein
tofu raw,188.0,11.9,1.7,2.6,6.7,4.7,0.0,20.0,0.7,0.0,0.06,209.7,0.0,0.2,0.096,0.0,0.1,0.5,0.2,0.1,0.2,0.0,0.0,0.0,868.0,0.5,13.3,74.4,1.5,240.6,300.1,0.005,2.0,918.8,54.64,32.51,12.84,1.88,29.15,High_Protein
soy proteins concentrate,93.0,0.1,0.04,0.092,0.099,7.2,0.0,18.0,1.6,0.0,0.3,1.6,0.0,0.076,0.087,0.0,0.078,0.2,0.007,0.015,0.0,0.0,0.0,0.0,102.7,0.3,3.1,39.6,1.2,237.4,127.4,0.019,1.2,132.7,71.15,0.4,28.46,0.93,38.3,High_Protein
meatless meatballs,284.0,13.0,2.1,3.2,6.7,11.5,1.8,30.2,6.6,0.0,0.8,83.5,0.0,1.4,0.1,0.073,0.3,3.6,0.7,0.3,0.0,0.0,2.5,0.0,36.0,1.0,3.1,25.9,0.0,495.4,259.2,0.016,2.6,100.4,55.21,23.77,21.02,2.84,53.7,High_Protein
natto,169.0,8.8,1.3,1.9,5.0,11.5,3.9,14.2,4.3,0.0,0.026,44.0,0.0,0.0,0.1,0.089,0.0,0.2,0.0,0.2,0.1,10.4,0.0,0.009,0.085,173.6,0.5,6.9,92.0,1.2,139.2,583.2,0.033,39.429,41.16,25.51,33.33,1.69,18.25,High_Protein
split peas cooked,227.0,0.8,0.1,0.2,0.3,40.2,5.7,16.3,16.3,0.0,0.5,136.2,0.0,0.4,0.1,0.0,0.1,1.7,1.2,0.086,0.8,0.0,0.028,0.063,27.4,0.4,2.5,70.6,0.8,194.0,709.5,0.059,2.0,104.3,28.45,1.4,70.16,2.27,44.85,High_Carb
tomato paste canned,215.0,1.2,0.3,0.2,0.4,49.5,31.9,11.3,10.7,0.0,2.1,192.6,0.0,0.2,0.018,0.0,0.4,8.1,0.4,0.6,57.4,0.0,11.3,0.005,94.3,1.0,7.8,110.0,0.8,217.5,2656.7,0.07,1.7,232.2,18.23,1.94,79.84,2.15,-26.35,High_Carb
caesar salad with grilled chicken mcdonalds,201.0,5.6,3.0,1.5,0.6,11.3,4.8,29.1,3.3,71.0,0.6,245.5,0.0,0.2,0.0,0.0,0.2,11.3,1.5,0.0,31.4,0.0,0.0,0.0,189.4,0.0,1.8,0.0,0.0,0.0,754.8,0.0,0.0,271.9,63.26,12.17,24.57,2.01,47.95,High_Protein
vegetable salad with chicken,70.0,1.5,0.4,0.5,0.4,2.5,0.0,11.6,0.0,47.9,0.1,126.5,0.077,0.034,0.032,0.056,0.068,3.9,0.4,0.3,11.6,0.0,0.0,0.0,24.7,0.08,0.7,21.8,0.2,113.3,297.9,0.014,0.6,52.69,74.36,9.62,16.03,0.7,21.7,High_Protein
